"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"AKNA",0,0.854278369388376,0.371,0.105,0,"2","AKNA",0.266
"TNFAIP3",0,0.851035201827232,0.746,0.367,0,"2","TNFAIP3",0.379
"SH2D2A",0,0.846802993616061,0.429,0.13,0,"2","SH2D2A",0.299
"PTPRC",0,0.841373291722568,0.759,0.41,0,"2","PTPRC",0.349
"LEPROTL11",0,0.827388988094974,0.728,0.361,0,"2","LEPROTL1",0.367
"CXCR3",0,0.823964104470841,0.306,0.061,0,"2","CXCR3",0.245
"SLA",0,0.81636128880499,0.358,0.109,0,"2","SLA",0.249
"CD96",0,0.804641226205297,0.385,0.103,0,"2","CD96",0.282
"PIK3R1",0,0.77941990512959,0.335,0.088,0,"2","PIK3R1",0.247
"ID2",0,0.752947259645106,0.644,0.331,0,"2","ID2",0.313
"CD3G",0,0.730986399999804,0.38,0.117,0,"2","CD3G",0.263
"SRSF2",0,0.697524284131207,0.804,0.609,0,"2","SRSF2",0.195
"SRSF7",0,0.696250519497054,0.761,0.533,0,"2","SRSF7",0.228
"LCK1",0,0.693350045404255,0.417,0.145,0,"2","LCK",0.272
"HLA-A",0,0.637904532392148,0.993,0.932,0,"2","HLA-A",0.0609999999999999
"TMSB4X",0,0.50493495317993,0.999,0.993,0,"2","TMSB4X",0.00600000000000001
"LYAR",7.5472880127805e-307,0.726697971053578,0.311,0.084,1.49300451468824e-302,"2","LYAR",0.227
"FAM177A1",1.23435863855261e-295,0.755651836051944,0.662,0.409,2.44180825878477e-291,"2","FAM177A1",0.253
"RARRES3",2.93206750900357e-294,0.764028694397128,0.543,0.273,5.80021594631087e-290,"2","RARRES3",0.27
"CD21",2.4769798795132e-288,0.559068345102358,0.583,0.254,4.89996159765302e-284,"2","CD2",0.329
"CXCR41",2.22680727977305e-286,0.527723512604767,0.92,0.672,4.40507016084704e-282,"2","CXCR4",0.248
"SYTL3",2.84083221964028e-286,0.682708816416878,0.323,0.096,5.61973429689241e-282,"2","SYTL3",0.227
"RUNX3",2.30932719294591e-284,0.740313202697438,0.39,0.145,4.5683110530856e-280,"2","RUNX3",0.245
"CHST12",2.42240089577986e-284,0.774724979399458,0.273,0.071,4.79199345203172e-280,"2","CHST12",0.202
"PPP2R5C",1.58277813006199e-282,0.729139814556237,0.596,0.338,3.13105169688863e-278,"2","PPP2R5C",0.258
"IL2RB",1.18527597291024e-281,0.659276940727631,0.321,0.094,2.34471292961104e-277,"2","IL2RB",0.227
"CREM",4.91219213303737e-281,0.570033157871329,0.881,0.687,9.71729847757453e-277,"2","CREM",0.194
"CLEC2B",2.68879734294457e-275,0.711202559421232,0.506,0.238,5.31897890381294e-271,"2","CLEC2B",0.268
"ANXA11",7.37441303802374e-272,0.617681975681545,0.724,0.426,1.45880638718186e-267,"2","ANXA1",0.298
"LITAF",5.99342471681723e-268,0.650281459853722,0.652,0.392,1.18561927748078e-263,"2","LITAF",0.26
"PTPRCAP",2.11790657681358e-266,0.641279323700105,0.712,0.464,4.18964279025262e-262,"2","PTPRCAP",0.248
"APMAP",1.3724202776335e-255,0.66928365103889,0.323,0.109,2.71492179321459e-251,"2","APMAP",0.214
"GNG2",2.89913932064984e-252,0.711839311639088,0.471,0.221,5.73507740410951e-248,"2","GNG2",0.25
"CD99",7.30452945238766e-242,0.60241655892492,0.654,0.431,1.44498201627133e-237,"2","CD99",0.223
"TIGIT",6.1391203568491e-230,0.591428981232017,0.298,0.091,1.21444078899189e-225,"2","TIGIT",0.207
"JMJD6",1.96669708973434e-220,0.647900116337648,0.32,0.12,3.89052018291247e-216,"2","JMJD6",0.2
"ITM2A1",1.58892472857112e-210,0.599094128518949,0.521,0.279,3.14321089805938e-206,"2","ITM2A",0.242
"CD2471",6.29470531996614e-210,0.648285880208508,0.337,0.129,1.2452186063957e-205,"2","CD247",0.208
"C12orf75",3.32434747996291e-209,0.548193206717051,0.299,0.104,6.57622418486262e-205,"2","C12orf75",0.195
"GABARAPL1",1.98414239221591e-206,0.630771637355003,0.447,0.226,3.92503048028152e-202,"2","GABARAPL1",0.221
"CD52",1.09184835814537e-203,0.590651575912104,0.792,0.585,2.15989442208318e-199,"2","CD52",0.207
"STAT4",1.77950480522773e-202,0.611660816483898,0.379,0.167,3.52021640570149e-198,"2","STAT4",0.212
"TRAT1",5.29362816348237e-200,0.642042562693931,0.276,0.092,1.04718552330008e-195,"2","TRAT1",0.184
"DUSP4",1.08010684809512e-196,0.695410595924097,0.427,0.207,2.13666736690177e-192,"2","DUSP4",0.22
"RGCC",4.28856684152588e-189,0.582677297521873,0.734,0.519,8.48364292590649e-185,"2","RGCC",0.215
"PTPN22",1.50155270193283e-180,0.58355482183581,0.313,0.126,2.97037155496353e-176,"2","PTPN22",0.187
"PRKCH",6.75858164958487e-176,0.518174624864578,0.26,0.091,1.33698262192088e-171,"2","PRKCH",0.169
"EVL",3.03520055147359e-172,0.577512716592778,0.42,0.213,6.00423373092505e-168,"2","EVL",0.207
"ZFP36L2",7.45369516892986e-171,0.511296528520727,0.733,0.536,1.4744899783177e-166,"2","ZFP36L2",0.197
"ALOX5AP",6.8682613496847e-170,0.599455165133846,0.46,0.249,1.35867946019463e-165,"2","ALOX5AP",0.211
"WIPF1",1.02022493054253e-168,0.534431882777346,0.487,0.288,2.01820895759923e-164,"2","WIPF1",0.199
"RNF125",3.86666909609356e-168,0.51851905632551,0.264,0.096,7.64904480589229e-164,"2","RNF125",0.168
"CNOT6L",2.6741503961448e-166,0.558885138537012,0.419,0.218,5.29000431365364e-162,"2","CNOT6L",0.201
"COTL1",1.41140548806955e-161,0.533901687563516,0.626,0.437,2.79204233649918e-157,"2","COTL1",0.189
"LYST",1.33184129790665e-160,0.605680483493007,0.298,0.127,2.63464845551894e-156,"2","LYST",0.171
"IFITM2",1.61246808298735e-160,0.584325842016562,0.604,0.416,3.18978436176558e-156,"2","IFITM2",0.188
"PGK1",1.73936872085361e-159,0.556182032904827,0.647,0.504,3.4408192035926e-155,"2","PGK1",0.143
"C9orf142",7.71074903211487e-152,0.552189049474362,0.4,0.219,1.52534037353296e-147,"2","C9orf142",0.181
"CCND2",5.87788964274591e-150,0.536969013481362,0.281,0.119,1.162764129128e-145,"2","CCND2",0.162
"NR4A21",2.21272828700907e-149,0.522325348723459,0.538,0.341,4.37721909736133e-145,"2","NR4A2",0.197
