"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"APOE1",1.00972528970327e-69,1.11633340917846,0.663,0.18,1.997438568091e-65,"2","APOE",0.483
"SLCO2B1",1.65830378012202e-64,0.625839389499084,0.323,0.032,3.28045653783738e-60,"2","SLCO2B1",0.291
"CTSZ",1.29627474622073e-63,1.06894576407036,0.763,0.316,2.56429070297385e-59,"2","CTSZ",0.447
"FTL1",2.69285099259245e-61,0.714667579688562,1,0.992,5.32699783354639e-57,"2","FTL",0.00800000000000001
"MSR1",2.65994258386148e-60,0.788982618424589,0.375,0.054,5.26189841939477e-56,"2","MSR1",0.321
"STAB1",1.89167408750567e-59,0.783199399658493,0.43,0.081,3.74210967990371e-55,"2","STAB1",0.349
"LGMN1",1.2467548315553e-55,0.919214112248388,0.794,0.357,2.46633040778269e-51,"2","LGMN",0.437
"TREM2",8.68519770481316e-55,0.721922399264644,0.368,0.058,1.71810580996614e-50,"2","TREM2",0.31
"APOC11",3.54362542722544e-54,1.27200038461898,0.612,0.189,7.00999982013736e-50,"2","APOC1",0.423
"CTSB",7.74057422944381e-54,0.873160258641202,0.959,0.72,1.53124039406858e-49,"2","CTSB",0.239
"RNASE1",7.16125254953354e-52,1.36038890006056,0.326,0.049,1.41663897934872e-47,"2","RNASE1",0.277
"SGK1",2.91240742334227e-51,0.97359742253104,0.79,0.383,5.76132436485568e-47,"2","SGK1",0.407
"MS4A7",3.48169883101605e-51,0.846102095284199,0.739,0.302,6.88749662751595e-47,"2","MS4A7",0.437
"LHFPL2",2.19158554826026e-50,0.619090844024482,0.357,0.061,4.33539453156845e-46,"2","LHFPL2",0.296
"TIMP2",6.09306335846687e-48,0.708421721282884,0.485,0.13,1.20532979357192e-43,"2","TIMP2",0.355
"NPC2",8.39186995654096e-48,0.653908715952363,0.959,0.823,1.66007971480293e-43,"2","NPC2",0.136
"FCGR3A",1.50783946761546e-46,0.723704823247021,0.591,0.197,2.98280803483691e-42,"2","FCGR3A",0.394
"LIPA",2.15380624064798e-45,0.568980702066719,0.509,0.145,4.26065950524982e-41,"2","LIPA",0.364
"C1orf54",5.86138403932613e-45,0.586208605343262,0.467,0.118,1.1594989906595e-40,"2","C1orf54",0.349
"PSAP",1.29962996792957e-43,0.640018951726309,0.962,0.767,2.57092800255828e-39,"2","PSAP",0.195
"CD81",1.72420813351734e-43,0.738845523305994,0.54,0.177,3.410828529724e-39,"2","CD81",0.363
"CD9",4.32227237107277e-43,0.816695839584285,0.66,0.264,8.55031920445616e-39,"2","CD9",0.396
"RGS1",7.62402559327313e-42,1.00654424067785,0.801,0.421,1.50818474286129e-37,"2","RGS1",0.38
"RNF130",9.78427710404441e-42,0.570447822156562,0.78,0.382,1.93552569672207e-37,"2","RNF130",0.398
"ABL2",1.33012404993435e-41,0.771607684018578,0.553,0.195,2.63125139558013e-37,"2","ABL2",0.358
"ITM2B1",8.25084228051756e-41,0.595939923988858,0.945,0.753,1.63218161993198e-36,"2","ITM2B",0.192
"MS4A6A1",2.16320475691692e-40,0.715082473509103,0.735,0.341,4.27925165013306e-36,"2","MS4A6A",0.394
"ACP5",4.63681557787503e-40,0.769676191982012,0.612,0.251,9.17254857615239e-36,"2","ACP5",0.361
"ARHGAP18",7.55592833794565e-39,0.524525958426454,0.337,0.075,1.49471374381241e-34,"2","ARHGAP18",0.262
"FPR3",2.55204943499236e-38,0.585529453116762,0.43,0.118,5.04846419230188e-34,"2","FPR3",0.312
"MPEG1",2.98466211205999e-38,0.647681770539558,0.474,0.148,5.90425859007708e-34,"2","MPEG1",0.326
"GPR183",3.57083503962621e-38,0.734030022642303,0.88,0.532,7.06382587538856e-34,"2","GPR183",0.348
"SLC40A1",7.02849457584073e-38,0.545698498612641,0.32,0.061,1.39037679699281e-33,"2","SLC40A1",0.259
